date,day_of_week,adv,dec,up4pct,dn4pct,pct_above_10d,pct_above_20d,pct_above_40d,spy_close,spy_chg_pct
2026-03-21,Saturday,384,1819,26,373,20.1,17.7,20.8,648.57,-1.43
2026-03-21,Saturday,384,1819,26,373,20.1,17.7,20.8,648.57,-1.43
2026-03-23,Monday,385,1824,27,373,20.1,17.8,20.9,648.57,-1.43
2026-03-23,Monday,1937,252,567,25,52.0,31.3,28.9,661.34,1.97
2026-03-23,Monday,1844,458,447,51,44.0,27.5,26.3,655.38,1.05
2026-03-24,Tuesday,1176,1125,174,193,45.2,29.1,27.0,653.18,-0.34
2026-03-25,Wednesday,1602,705,245,45,58.1,36.1,30.8,656.82,0.56
2026-03-26,Thursday,776,1500,63,308,47.0,32.4,27.0,645.09,-1.79
2026-03-27,Friday,390,1705,56,392,27.0,22.7,22.9,634.09,-1.71
2026-03-30,Monday,958,1127,43,249,29.2,23.4,22.4,631.97,-0.33
2026-03-30,Monday,958,1127,43,249,29.2,23.4,22.4,631.97,-0.33
2026-03-31,Tuesday,1805,301,750,21,62.0,43.4,30.1,650.34,2.91
2026-04-01,Wednesday,1283,842,162,98,66.0,52.0,33.4,655.24,0.75
2026-04-02,Thursday,1282,845,160,40,71.2,57.1,35.7,655.83,0.09
2026-04-03,Friday,1295,850,160,40,71.4,57.2,35.6,655.83,0.09
2026-04-05,Sunday,1296,851,160,40,71.4,57.1,35.6,655.83,0.09
2026-04-07,Tuesday,894,1172,67,72,69.0,60.3,39.9,659.22,0.04
2026-04-08,Wednesday,1624,453,598,98,81.4,75.4,53.9,676.01,2.55
2026-04-09,Thursday,1139,939,125,159,76.7,73.0,56.0,679.91,0.58
2026-04-10,Friday,778,1280,85,143,70.6,69.5,53.9,679.46,-0.07
2026-04-12,Sunday,788,1283,86,142,70.8,69.7,53.9,679.46,-0.07
2026-04-13,Monday,1577,510,355,23,77.5,75.7,60.3,686.1,0.98
2026-04-14,Tuesday,1337,742,219,72,77.4,78.9,65.0,694.46,1.22
2026-04-15,Wednesday,1137,939,275,67,77.2,81.0,67.0,699.94,0.79
2026-04-16,Thursday,1142,934,166,62,75.2,82.2,69.9,701.66,0.25
2026-04-19,Sunday,1688,460,369,108,83.7,84.7,75.1,710.14,1.21
2026-04-20,Monday,1182,938,151,61,80.0,83.3,75.5,708.72,-0.2
2026-04-21,Tuesday,624,1488,91,225,65.5,77.2,70.8,704.08,-0.65
2026-04-22,Wednesday,1123,986,205,82,63.5,75.1,70.9,711.21,1.01
2026-04-23,Thursday,836,1271,92,360,54.5,70.1,67.6,708.45,-0.39
2026-04-24,Friday,1048,1015,164,96,50.8,68.3,67.5,713.94,0.77
2026-04-26,Sunday,1055,1027,164,95,50.7,68.5,67.7,713.94,0.77
2026-04-28,Tuesday,857,1216,66,232,43.3,62.6,66.3,711.69,-0.49
2026-04-29,Wednesday,646,1429,133,205,34.0,52.2,62.0,711.58,-0.02
