date,day_of_week,adv,dec,up4pct,dn4pct,pct_above_10d,pct_above_20d,pct_above_40d,spy_close,spy_chg_pct
2026-04-03,Friday,1295,850,160,40,71.4,57.2,35.6,655.83,0.09
2026-04-05,Sunday,1296,851,160,40,71.4,57.1,35.6,655.83,0.09
2026-04-07,Tuesday,894,1172,67,72,69.0,60.3,39.9,659.22,0.04
2026-04-08,Wednesday,1624,453,598,98,81.4,75.4,53.9,676.01,2.55
2026-04-09,Thursday,1139,939,125,159,76.7,73.0,56.0,679.91,0.58
2026-04-10,Friday,778,1280,85,143,70.6,69.5,53.9,679.46,-0.07
2026-04-12,Sunday,788,1283,86,142,70.8,69.7,53.9,679.46,-0.07
2026-04-13,Monday,1577,510,355,23,77.5,75.7,60.3,686.1,0.98
2026-04-14,Tuesday,1337,742,219,72,77.4,78.9,65.0,694.46,1.22
2026-04-15,Wednesday,1137,939,275,67,77.2,81.0,67.0,699.94,0.79
2026-04-16,Thursday,1142,934,166,62,75.2,82.2,69.9,701.66,0.25
2026-04-19,Sunday,1688,460,369,108,83.7,84.7,75.1,710.14,1.21
2026-04-20,Monday,1182,938,151,61,80.0,83.3,75.5,708.72,-0.2
2026-04-21,Tuesday,624,1488,91,225,65.5,77.2,70.8,704.08,-0.65
2026-04-22,Wednesday,1123,986,205,82,63.5,75.1,70.9,711.21,1.01
2026-04-23,Thursday,836,1271,92,360,54.5,70.1,67.6,708.45,-0.39
2026-04-24,Friday,1048,1015,164,96,50.8,68.3,67.5,713.94,0.77
2026-04-26,Sunday,1055,1027,164,95,50.7,68.5,67.7,713.94,0.77
2026-04-28,Tuesday,857,1216,66,232,43.3,62.6,66.3,711.69,-0.49
2026-04-29,Wednesday,646,1429,133,205,34.0,52.2,62.0,711.58,-0.02
2026-04-30,Thursday,1626,489,399,62,51.0,63.8,68.9,718.66,0.99
2026-05-01,Friday,1025,1117,201,83,53.6,61.8,68.8,720.65,0.28
2026-05-03,Sunday,1038,1124,201,83,53.7,61.7,68.8,720.65,0.28
2026-05-04,Monday,808,1358,137,201,47.3,53.4,65.6,718.01,-0.37
2026-05-05,Tuesday,1419,769,242,92,55.9,56.5,67.3,723.77,0.8
2026-05-06,Wednesday,1419,795,466,192,65.1,62.7,70.7,733.83,1.39
2026-05-07,Thursday,766,1447,185,332,56.1,54.2,67.0,731.58,-0.31
2026-05-08,Friday,1163,1090,249,172,55.4,54.1,65.5,737.62,0.83
2026-05-10,Sunday,1181,1090,251,172,55.3,54.2,65.6,737.62,0.83
2026-05-11,Monday,922,1327,216,277,48.5,49.8,61.1,739.3,0.23
2026-05-12,Tuesday,919,1346,100,202,44.8,47.8,60.0,738.18,-0.15
2026-05-13,Wednesday,890,1357,174,216,40.8,45.4,55.8,742.31,0.56
2026-05-14,Thursday,1256,973,191,137,44.4,46.0,56.6,748.17,0.79
2026-05-15,Friday,563,1662,91,418,30.8,37.6,48.6,739.17,-1.2
2026-05-17,Sunday,566,1660,92,416,31.3,38.0,49.1,739.17,-1.2
2026-05-18,Monday,1283,929,173,243,36.7,40.8,51.4,738.65,-0.07
2026-05-19,Tuesday,697,1496,64,202,33.7,36.7,47.8,733.73,-0.67
2026-05-20,Wednesday,1693,501,445,35,50.6,47.0,54.6,741.25,1.02
2026-05-21,Thursday,1264,941,225,65,58.2,50.7,55.3,742.72,0.2
2026-05-22,Friday,1266,915,193,64,64.1,54.7,56.9,745.64,0.39
2026-05-24,Sunday,1282,915,195,62,64.1,54.8,57.0,745.64,0.39
2026-05-25,Monday,1282,915,195,62,64.1,54.8,57.0,745.64,0.39
2026-05-26,Tuesday,1364,798,325,79,69.7,59.5,58.4,750.59,0.66
2026-05-27,Wednesday,1019,1131,179,130,67.8,57.5,57.9,750.46,-0.02
2026-05-28,Thursday,1197,966,251,74,68.0,60.0,58.8,754.6,0.55
2026-05-29,Friday,942,1227,197,138,64.7,57.4,57.4,756.48,0.25
2026-05-31,Sunday,973,1244,201,139,64.7,57.4,57.3,756.48,0.25
2026-06-01,Monday,1029,1213,358,174,56.4,54.4,56.4,758.54,0.27
2026-06-02,Tuesday,1102,1140,217,265,56.9,56.4,56.3,759.57,0.14
2026-06-03,Wednesday,766,1365,63,357,45.3,49.8,50.9,755.6,-0.52
2026-06-03,Wednesday,693,1561,89,395,42.8,48.0,49.2,754.24,-0.7
2026-06-04,Thursday,1533,718,269,68,55.5,58.1,55.5,757.09,0.38
2026-06-07,Sunday,673,1559,38,651,38.3,47.2,47.4,737.55,-2.58
2026-06-08,Monday,1053,1149,181,78,36.3,47.2,47.7,739.22,0.23
2026-06-09,Tuesday,1357,835,238,195,47.8,52.6,51.3,737.05,-0.29
2026-06-10,Wednesday,790,1377,85,322,42.5,47.1,46.7,725.43,-1.58
2026-06-11,Thursday,1607,586,654,43,56.9,57.0,54.6,737.76,1.7
2026-06-12,Friday,1489,692,171,88,63.5,62.7,58.1,741.75,0.54
2026-06-14,Sunday,1505,695,172,89,63.7,62.7,58.1,741.75,0.54
2026-06-15,Monday,1180,1031,298,125,67.5,62.6,59.4,754.83,1.76
